Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,SHORT_GR_LONG,Signal,Buy & Sell
2022-01-04,3831.10009765625,3889.14990234375,3811.699951171875,3884.75,3831.930419921875,2488606,3661.835009765625,3567.3819873046873,1,0.0,NULL
2022-01-05,3865.0,3870.0,3812.39990234375,3860.949951171875,3808.453857421875,1733031,3673.5375122070313,3574.7419873046874,1,0.0,NULL
2022-01-06,3812.0,3835.0,3772.0,3807.449951171875,3755.681396484375,1810293,3683.822509765625,3581.238984375,1,0.0,NULL
2022-01-07,3820.0,3864.89990234375,3796.39990234375,3853.5,3801.105224609375,2460591,3694.657507324219,3588.513984375,1,0.0,NULL
2022-01-10,3978.0,3978.0,3861.0,3879.85009765625,3827.096923828125,3937092,3708.167517089844,3597.67798828125,1,0.0,NULL
2022-01-11,3856.0,3925.0,3856.0,3915.89990234375,3862.656494140625,1906106,3722.772509765625,3608.040986328125,1,0.0,NULL
2022-01-12,3925.0,3929.0,3836.550048828125,3859.89990234375,3807.41796875,3203744,3737.25,3615.710986328125,1,0.0,NULL
2022-01-13,3918.0,3923.0,3857.0,3897.89990234375,3844.9013671875,6684507,3753.064990234375,3623.9849853515625,1,0.0,NULL
2022-01-14,3877.85009765625,3977.0,3860.050048828125,3968.14990234375,3914.1962890625,3348123,3772.25498046875,3633.5029833984377,1,0.0,NULL
2022-01-17,3992.699951171875,4043.0,3962.300048828125,4019.14990234375,3964.5029296875,3442604,3795.36748046875,3643.7129833984377,1,0.0,NULL
2022-01-18,4033.949951171875,4041.699951171875,3980.0,3990.60009765625,3936.34130859375,2389041,3814.4824829101562,3653.4699853515626,1,0.0,NULL
2022-01-19,4012.0,4012.0,3910.5,3914.64990234375,3868.209228515625,3102539,3828.6774780273436,3661.648984375,1,0.0,NULL
2022-01-20,3910.0,3920.0,3811.0,3826.550048828125,3781.154296875,6176776,3836.869982910156,3668.493984375,1,0.0,NULL
2022-01-21,3807.0,3851.550048828125,3771.10009765625,3833.5,3788.02197265625,3112358,3844.9999877929686,3675.3999853515625,1,0.0,NULL
2022-01-24,3840.0,3849.64990234375,3740.10009765625,3771.35009765625,3726.609375,3258414,3848.762487792969,3680.305986328125,1,0.0,NULL
2022-01-25,3769.5,3809.39990234375,3722.199951171875,3769.89990234375,3725.176025390625,3330501,3851.92998046875,3684.6379833984374,1,0.0,NULL
2022-01-27,3731.0,3733.39990234375,3625.10009765625,3649.25,3605.957763671875,5718297,3849.6574829101564,3686.4949853515627,1,0.0,NULL
2022-01-28,3646.0,3729.800048828125,3646.0,3690.050048828125,3646.273681640625,3143862,3847.4724853515627,3689.85798828125,1,0.0,NULL
2022-01-31,3749.0,3758.0,3721.39990234375,3736.25,3691.92529296875,2739393,3847.36748046875,3695.0689892578125,1,0.0,NULL
2022-02-01,3770.0,3808.0,3736.39990234375,3800.64990234375,3755.5615234375,2105169,3846.5124755859374,3701.9139892578123,1,0.0,NULL
2022-02-02,3827.89990234375,3864.0,3800.64990234375,3856.199951171875,3810.452392578125,1984212,3845.0849731445314,3709.75298828125,1,0.0,NULL
2022-02-03,3851.0,3882.5,3816.050048828125,3824.60009765625,3779.2275390625,1960538,3843.26748046875,3717.3789892578125,1,0.0,NULL
2022-02-04,3815.300048828125,3824.699951171875,3769.0,3814.89990234375,3769.642333984375,2307366,3843.6399780273437,3724.7589892578126,1,0.0,NULL
2022-02-07,3791.0,3831.800048828125,3756.14990234375,3779.0,3734.168212890625,1919149,3839.9149780273438,3731.4019873046873,1,0.0,NULL
2022-02-08,3791.550048828125,3799.699951171875,3721.0,3743.449951171875,3699.0400390625,2946443,3833.094970703125,3736.230986328125,1,0.0,NULL
2022-02-09,3750.0,3777.949951171875,3746.10009765625,3760.550048828125,3715.937255859375,1638721,3825.3274780273437,3740.8589892578125,1,0.0,NULL
2022-02-10,3789.800048828125,3789.800048828125,3758.0,3770.35009765625,3725.62109375,2112459,3820.849987792969,3744.709990234375,1,0.0,NULL
2022-02-11,3752.5,3752.5,3690.0,3694.949951171875,3651.115478515625,3851488,3810.702490234375,3745.7509912109376,1,0.0,NULL
2022-02-14,3724.0,3793.25,3710.0,3733.75,3689.455078125,5951745,3798.9824951171877,3747.6169921875,1,0.0,NULL
2022-02-15,3786.0,3835.0,3748.0,3817.800048828125,3772.508056640625,3931683,3788.915002441406,3753.2449951171875,1,0.0,NULL
2022-02-16,3844.0,3854.10009765625,3806.0,3813.10009765625,3767.86376953125,3256906,3780.040002441406,3757.8169970703125,1,0.0,NULL
2022-02-17,3825.0,3835.0,3779.0,3784.199951171875,3739.306396484375,3134372,3773.5175048828123,3760.962998046875,1,0.0,NULL
2022-02-18,3769.0,3815.949951171875,3757.60009765625,3793.89990234375,3748.891357421875,3688883,3771.8849975585936,3764.80599609375,1,0.0,NULL
2022-02-21,3810.0,3827.800048828125,3705.550048828125,3719.39990234375,3675.275390625,7465922,3766.1799926757812,3766.4579931640624,0,-1.0,NULL
2022-02-22,3650.0,3667.89990234375,3570.0,3586.39990234375,3543.85302734375,5408531,3756.932482910156,3765.9929931640627,0,0.0,NULL
2022-02-23,3611.0,3622.89990234375,3555.64990234375,3563.800048828125,3521.521484375,2426203,3746.627490234375,3764.7929931640624,0,0.0,NULL
2022-02-24,3474.0,3483.85009765625,3391.10009765625,3401.64990234375,3361.294677734375,5039136,3734.2474853515623,3761.4189892578124,0,0.0,NULL
2022-02-25,3468.0,3530.0,3462.0,3520.75,3478.98193359375,2549723,3725.7824829101564,3760.2019873046875,0,0.0,NULL
